idx,idm,errors
0,119727,0.0
1,119709,0.0
2,119735,0.0
3,119747,0.0
4,119749,0.0
5,119765,0.0
6,119779,0.0
7,119791,0.0
8,119790,0.0
9,119807,0.0
10,119821,0.0
11,119822,0.0
12,119835,0.0
13,119850,0.0
14,119851,0.0
15,119852,0.0
16,119876,0.0
17,119861,0.0
18,119874,0.0
19,119878,0.0
20,119878,0.0
21,119893,0.0
22,119909,0.0
23,119907,0.0
24,119924,0.0
25,119910,0.0
26,119923,0.0
27,119943,0.0
28,119939,0.0
29,119953,0.0
30,119942,0.0
31,119968,0.0
32,119981,0.0
33,119982,0.0
34,120002,0.0
35,119955,0.0
36,119984,0.0
37,120012,0.0
38,120013,0.0
39,120015,0.0
40,120016,0.0
41,120021,0.0
42,120047,0.0
43,120046,0.0
44,120049,0.0
45,120064,0.0
46,120079,0.0
47,120093,0.0
48,120083,0.0
49,120080,0.0
50,120107,0.0
51,120108,0.0
52,120122,0.0
53,120111,0.0
54,120134,0.0
55,120136,0.0
56,120153,0.0
57,120152,0.0
58,120168,0.0
59,120184,0.0
60,120166,0.0
61,120213,0.0
62,120199,0.0
63,120211,0.0
64,120210,0.0
65,120213,0.0
66,120247,0.0
67,120243,0.0
68,120244,0.0
69,120274,0.0
70,120286,0.0
71,120303,0.0
72,120305,0.0
73,120306,0.0
74,120335,0.0
75,120352,0.0
76,120351,0.0
77,120385,0.0
