,idx,idm,errors
0,0,115147,4.76837158203125e-07
1,1,115148,4.76837158203125e-07
2,2,115149,0.0
3,3,115150,0.0
4,4,115151,4.76837158203125e-07
5,5,115152,4.76837158203125e-07
6,6,115156,4.76837158203125e-07
7,7,115157,0.0
8,8,115158,4.76837158203125e-07
9,9,115159,4.76837158203125e-07
10,10,115160,0.0
11,11,115207,0.0
12,12,115208,0.0
13,13,115209,0.0
14,14,115214,0.0
15,15,115215,0.0
16,16,115216,0.0
17,17,115217,0.0
18,18,115218,0.0
19,19,115219,2.384185791015625e-07
20,20,115225,1.1920928955078125e-07
21,21,115221,1.1920928955078125e-07
22,22,115226,5.960464477539063e-08
23,23,115231,4.76837158203125e-07
24,24,115232,4.172325134277344e-07
25,25,115233,2.1606683731079102e-07
26,26,115236,0.0
27,27,115237,3.5762786865234375e-07
28,28,115269,0.0
29,29,115273,0.0
30,30,115276,4.76837158203125e-07
31,31,115277,2.384185791015625e-07
32,32,115304,0.0
33,33,115305,0.0
34,34,115310,0.0
35,35,115333,0.0
36,36,115339,4.76837158203125e-07
